card                                         arch        VRAM    bw profile           verdict        evidence
RTX PRO 4000 Blackwell                       blackwell  24576   672 rtx_3090          ACCEPT-24GB    SPEC PRO 4000 24GB — vram fallback
RTX PRO 4500 Blackwell                       blackwell  32768   896 rtx_5090          ACCEPT-32GB+   SPEC PRO 4500 32GB
RTX PRO 5000 Blackwell                       blackwell  49152  1344 nvidia_48gb       ACCEPT-32GB+   SPEC PRO 5000 48GB
RTX PRO 6000 Blackwell                       blackwell  98304  1792 nvidia_48gb       ACCEPT-32GB+   SPEC PRO 6000 96GB
RTX 6000 Ada Generation                      ada        49140   960 nvidia_48gb       ACCEPT-32GB+   MEASURED workstation <72s / Hamster
RTX 5000 Ada Generation                      ada        32768   896 rtx_5090          ACCEPT-32GB+   SPEC RTX 5000 Ada 32GB
RTX A4000                                    ampere     16384   448 nvidia_16gb       ACCEPT         SPEC A4000 16GB
RTX A4500                                    ampere     20480   640 rtx_3090          ACCEPT-24GB    SPEC A4500 20GB
RTX A5000                                    ampere     24576   768 rtx_3090          ACCEPT-24GB    SPEC A5000 24GB
RTX A6000                                    ampere     49140   768 nvidia_48gb       ACCEPT-32GB+   SPEC A6000 48GB
GB10                                         blackwell-s121      0     ? dgx_spark         ACCEPT-SPARK   MEASURED nvidia-smi: GB10 compute_cap 12.1, VRAM 'Not Suppor
GB10                                         blackwell-s121  32768     ? dgx_spark         ACCEPT-SPARK   SPEC nvidia-smi may marshal 0 or a number; name-lock must wi
RTX Mystery 24GB                             unknown    24576     ? rtx_3090          ACCEPT-24GB    SPEC unknown 24GB fallback
GTX 1080 Ti                                  pascal     11264   484 nvidia_8gb_legacy ACCEPT-SLOW    MEASURED Pascal ~55min / Hamster 8GB legacy
GTX 1060 6GB                                 pascal      6144   192 nvidia_8gb_legacy ACCEPT-SLOW    SPEC Pascal name-lock even at 6GB
GTX 1660 SUPER                               unknown     6144   192 REJECT            REJECT         SPEC Turing 16-series is not Pascal; 6GB below 7GB floor
GTX 1080                                     pascal      8192   320 nvidia_8gb_legacy ACCEPT-SLOW    SPEC GTX 1080 is Pascal 8GB
